nested_state__deep_set	0
nested_state__deep_clear	0
nested_state__deep_touch_keeps	0
nested_state__deep3	0
nested_state__missing_parent	0
nested_state__cleared_then_read	0
nested_state__wrong_order_probe	0
short_circuit__bump	0
short_circuit__bump_false	0
short_circuit__sc_skip_trap_and	0
short_circuit__sc_skip_trap_or	0
short_circuit__sc_eval_trap_and	0
short_circuit__sc_eval_trap_or	0
short_circuit__sc_action_skipped	0
short_circuit__sc_action_taken	0
short_circuit__sc_or_action_skipped	0
short_circuit__sc_or_action_taken	0
short_circuit__sc_left_to_right	0
short_circuit__sc_nested_or_and	0
short_circuit__sc_relay_style_assert	0
short_circuit__sc_assert_fails_skips_trap	0
short_circuit__sc_not_and	0
finite_ints__carrier_max	4
finite_ints__overflow_add	4
finite_ints__overflow_sub	4
finite_ints__overflow_mul	4
finite_ints__overflow_neg	4
finite_ints__div_trunc	4
finite_ints__mod_sign	4
finite_ints__div_zero	4
finite_ints__u8_ok	4
finite_ints__u8_overflow_runtime	4
finite_ints__u8_local_annot	4
finite_ints__u8_local_annot_trap	4
finite_ints__u8_param	4
finite_ints__u8_param_ok	4
finite_ints__u8_param_trap	4
finite_ints__u64_negative_trap	4
finite_ints__ret_u8_trap	4
finite_ints__ret_u8_ok	4
finite_ints__typed_literal_widths	4
finite_ints__big_attr	4
finite_ints__char_lit	4
scope_ok__branch_lets	0
scope_ok__loop_let	0
scope_ok__catch_scope	0
scope_ok__finally_runs	0
scope_ok__uncaught_is_raise	0
scope_ok__partial_effects_survive_raise	0
lower_positives	0
lower_negatives	0
